# This document produced by structureHarvester core version vA.2 July 2014
# http://www.structureharvester.com/
# https://github.com/dentearl/structureHarvester/
# http://taylor0.biology.ucla.edu/structureHarvester
# http://users.soe.ucsc.edu/~dearl/software/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing
# STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
# Core version: vA.2 July 2014
# File generated at 2021-Feb-21 21:14:22 PST
#

##########
# K	Reps	mean est. LnP(Data)	stdev est. LnP(Data)
1	20	-187245.725000	4.701162
2	20	-173387.330000	7823.497529
3	20	-163580.470000	1383.085785
4	20	-158607.820000	14960.398956
5	20	-256228.110000	417467.641914
6	20	-232260.385000	372613.230138
7	20	-216673.975000	176991.888860
8	20	-644020.255000	1112337.156048
9	20	-325466.635000	289773.207994
10	20	-314359.680000	203576.158175
11	20	-674895.150000	1016053.936114
12	20	-302816.040000	223298.417791
13	20	-985652.295000	1631343.106989

##########
# File name	Run #	K	Est. Ln prob. of data	Mean value of Ln likelihood	Variance of Ln likelihood
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K2_run_20_f	20	2	-164042.7	-161238.3	5608.7
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K2_run_5_f	5	2	-179560.7	-175921.4	7278.5
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K2_run_16_f	16	2	-179683.5	-175918.6	7529.8
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K2_run_4_f	4	2	-164042.1	-161238.3	5607.7
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K2_run_17_f	17	2	-179710.1	-175915.4	7589.4
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K2_run_3_f	3	2	-179709.9	-175913.6	7592.5
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K2_run_18_f	18	2	-164047.5	-161238.6	5617.8
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K2_run_1_f	1	2	-164046.7	-161238.0	5617.5
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K2_run_14_f	14	2	-164044.0	-161238.5	5610.9
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K2_run_7_f	7	2	-164057.0	-161237.9	5638.2
