# Variant positions
# Pop ID	Private	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
STT189	44	1.0000	0.0000	0.0000	0.9843	0.0076	0.0006	0.0314	0.0304	0.0012	0.9686	0.0304	0.0012	0.0157	0.0076	0.0006	0.9843	0.0076	0.0006	0.0314	0.0304	0.0012	0.0000	47.4641	0.0000
STT190	0	1.0000	0.0000	0.0000	0.9899	0.0050	0.0005	0.0203	0.0199	0.0010	0.9797	0.0199	0.0010	0.0101	0.0050	0.0005	0.9899	0.0050	0.0005	0.0203	0.0199	0.0010	0.0000	48.0087	0.0000
STT191	4	1.0000	0.0000	0.0000	0.9893	0.0052	0.0005	0.0213	0.0209	0.0010	0.9787	0.0209	0.0010	0.0107	0.0052	0.0005	0.9893	0.0052	0.0005	0.0213	0.0209	0.0010	0.0000	47.9566	0.0000
STT192	3	1.0000	0.0000	0.0000	0.9916	0.0041	0.0005	0.0168	0.0165	0.0010	0.9832	0.0165	0.0010	0.0084	0.0041	0.0005	0.9916	0.0041	0.0005	0.0168	0.0165	0.0010	0.0000	48.1793	0.0000
FSSP241	51	1.0000	0.0000	0.0000	0.9852	0.0072	0.0006	0.0295	0.0287	0.0012	0.9705	0.0287	0.0012	0.0148	0.0072	0.0006	0.9852	0.0072	0.0006	0.0295	0.0287	0.0012	0.0000	47.5558	0.0000
FSSP242	1	1.0000	0.0000	0.0000	0.9913	0.0043	0.0005	0.0175	0.0171	0.0010	0.9825	0.0171	0.0010	0.0087	0.0043	0.0005	0.9913	0.0043	0.0005	0.0175	0.0171	0.0010	0.0000	48.1477	0.0000
FSSP243	49	1.0000	0.0000	0.0000	0.9866	0.0065	0.0006	0.0269	0.0262	0.0012	0.9731	0.0262	0.0012	0.0134	0.0065	0.0006	0.9866	0.0065	0.0006	0.0269	0.0262	0.0012	0.0000	47.6851	0.0000
FSSP244	2	1.0000	0.0000	0.0000	0.9889	0.0054	0.0005	0.0221	0.0217	0.0011	0.9779	0.0217	0.0011	0.0111	0.0054	0.0005	0.9889	0.0054	0.0005	0.0221	0.0217	0.0011	0.0000	47.9173	0.0000
FSSP245	7	1.0000	0.0000	0.0000	0.9902	0.0048	0.0005	0.0195	0.0191	0.0010	0.9805	0.0191	0.0010	0.0098	0.0048	0.0005	0.9902	0.0048	0.0005	0.0195	0.0191	0.0010	0.0000	48.0471	0.0000
FSSP246	3	1.0000	0.0000	0.0000	0.9887	0.0055	0.0005	0.0226	0.0221	0.0011	0.9774	0.0221	0.0011	0.0113	0.0055	0.0005	0.9887	0.0055	0.0005	0.0226	0.0221	0.0011	0.0000	47.8960	0.0000
FSSP247	3	1.0000	0.0000	0.0000	0.9876	0.0061	0.0005	0.0249	0.0243	0.0011	0.9751	0.0243	0.0011	0.0124	0.0061	0.0005	0.9876	0.0061	0.0005	0.0249	0.0243	0.0011	0.0000	47.7836	0.0000
FSSP248	4	1.0000	0.0000	0.0000	0.9884	0.0056	0.0005	0.0231	0.0226	0.0011	0.9769	0.0226	0.0011	0.0116	0.0056	0.0005	0.9884	0.0056	0.0005	0.0231	0.0226	0.0011	0.0000	47.8699	0.0000
FSSP249	5	1.0000	0.0000	0.0000	0.9889	0.0054	0.0005	0.0222	0.0217	0.0011	0.9778	0.0217	0.0011	0.0111	0.0054	0.0005	0.9889	0.0054	0.0005	0.0222	0.0217	0.0011	0.0000	47.9149	0.0000
FSSP250	41	1.0000	0.0000	0.0000	0.9851	0.0072	0.0006	0.0297	0.0289	0.0012	0.9703	0.0289	0.0012	0.0149	0.0072	0.0006	0.9851	0.0072	0.0006	0.0297	0.0289	0.0012	0.0000	47.5453	0.0000
HNL301	7	1.0000	0.0000	0.0000	0.9752	0.0118	0.0008	0.0497	0.0472	0.0015	0.9503	0.0472	0.0015	0.0248	0.0118	0.0008	0.9752	0.0118	0.0008	0.0497	0.0472	0.0015	0.0000	46.5680	0.0000
HNL302	3	1.0000	0.0000	0.0000	0.9738	0.0124	0.0008	0.0523	0.0496	0.0015	0.9477	0.0496	0.0015	0.0262	0.0124	0.0008	0.9738	0.0124	0.0008	0.0523	0.0496	0.0015	0.0000	46.4376	0.0000
HNL303	12	1.0000	0.0000	0.0000	0.9704	0.0139	0.0008	0.0591	0.0556	0.0016	0.9409	0.0556	0.0016	0.0296	0.0139	0.0008	0.9704	0.0139	0.0008	0.0591	0.0556	0.0016	0.0000	46.1047	0.0000
HNL304	5	1.0000	0.0000	0.0000	0.9734	0.0126	0.0008	0.0533	0.0504	0.0015	0.9467	0.0504	0.0015	0.0266	0.0126	0.0008	0.9734	0.0126	0.0008	0.0533	0.0504	0.0015	0.0000	46.3926	0.0000
HNL305	101	1.0000	0.0000	0.0000	0.9675	0.0152	0.0008	0.0649	0.0607	0.0017	0.9351	0.0607	0.0017	0.0325	0.0152	0.0008	0.9675	0.0152	0.0008	0.0649	0.0607	0.0017	0.0000	45.8209	0.0000
HNL306	127	1.0000	0.0000	0.0000	0.9654	0.0161	0.0009	0.0692	0.0644	0.0017	0.9308	0.0644	0.0017	0.0346	0.0161	0.0009	0.9654	0.0161	0.0009	0.0692	0.0644	0.0017	0.0000	45.6115	0.0000
HNL307	9	1.0000	0.0000	0.0000	0.9726	0.0130	0.0008	0.0549	0.0518	0.0016	0.9451	0.0518	0.0016	0.0274	0.0130	0.0008	0.9726	0.0130	0.0008	0.0549	0.0518	0.0016	0.0000	46.3144	0.0000
HNL308	13	1.0000	0.0000	0.0000	0.9712	0.0135	0.0008	0.0575	0.0542	0.0016	0.9425	0.0542	0.0016	0.0288	0.0135	0.0008	0.9712	0.0135	0.0008	0.0575	0.0542	0.0016	0.0000	46.1846	0.0000
HNL309	88	1.0000	0.0000	0.0000	0.9690	0.0145	0.0008	0.0620	0.0582	0.0016	0.9380	0.0582	0.0016	0.0310	0.0145	0.0008	0.9690	0.0145	0.0008	0.0620	0.0582	0.0016	0.0000	45.9641	0.0000
HNL310	8	1.0000	0.0000	0.0000	0.9781	0.0105	0.0008	0.0438	0.0419	0.0015	0.9562	0.0419	0.0015	0.0219	0.0105	0.0008	0.9781	0.0105	0.0008	0.0438	0.0419	0.0015	0.0000	46.8581	0.0000
MPO482	40	1.0000	0.0000	0.0000	0.9874	0.0061	0.0005	0.0251	0.0245	0.0011	0.9749	0.0245	0.0011	0.0126	0.0061	0.0005	0.9874	0.0061	0.0005	0.0251	0.0245	0.0011	0.0000	47.7707	0.0000
MPO483	38	1.0000	0.0000	0.0000	0.9878	0.0060	0.0005	0.0244	0.0238	0.0011	0.9756	0.0238	0.0011	0.0122	0.0060	0.0005	0.9878	0.0060	0.0005	0.0244	0.0238	0.0011	0.0000	47.8063	0.0000
