# Variant positions
# Pop ID	Private	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
TGCP	3044	23.1462	1.3586	0.0145	0.8505	0.0237	0.0019	0.2029	0.0429	0.0026	0.7971	0.0429	0.0026	0.2069	0.0331	0.0023	0.7931	0.0331	0.0023	0.2115	0.0346	0.0023	0.0384	12.6221	0.0145
STT	3514	21.8045	1.8143	0.0107	0.8937	0.0195	0.0011	0.1414	0.0370	0.0015	0.8586	0.0370	0.0015	0.1510	0.0288	0.0013	0.8490	0.0288	0.0013	0.1546	0.0302	0.0014	0.0595	18.1015	0.0107
MPO	3053	21.6249	1.7123	0.0108	0.9002	0.0177	0.0011	0.1307	0.0336	0.0015	0.8693	0.0336	0.0015	0.1442	0.0270	0.0014	0.8558	0.0270	0.0014	0.1476	0.0284	0.0014	0.0762	18.1589	0.0108
PTP	1757	21.6087	1.6712	0.0113	0.9471	0.0135	0.0010	0.0694	0.0275	0.0015	0.9306	0.0275	0.0015	0.0732	0.0210	0.0013	0.9268	0.0210	0.0013	0.0750	0.0220	0.0013	0.0299	35.3378	0.0113
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant Sites	Polymorphic Sites	% Polymorphic Loci	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
TGCP	3044	1614107.0000	6448.0000	4814.0000	0.2982	23.4707	1.0754	0.0008	0.9994	0.0002	0.0000	0.0008	0.0003	0.0000	0.9992	0.0003	0.0000	0.0008	0.0003	0.0000	0.9992	0.0003	0.0000	0.0008	0.0003	0.0000	0.0002	48.8563	0.0008
STT	3514	4511355.0000	15822.0000	10098.0000	0.2238	22.6904	1.6713	0.0006	0.9996	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0005	0.0002	0.0000	0.0002	48.8935	0.0006
MPO	3053	4429060.0000	14734.0000	9413.0000	0.2125	22.5265	1.6800	0.0006	0.9997	0.0001	0.0000	0.0004	0.0002	0.0000	0.9996	0.0002	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0005	0.0002	0.0000	0.0003	48.8997	0.0006
PTP	1757	3993277.0000	13002.0000	3717.0000	0.0931	22.2164	1.7318	0.0007	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	0.0001	48.9559	0.0007
